,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
3427,,,,,,,,9303760020.0,,,0,3,right_only,3,0
3428,,,,,,,,9303770006.0,,,0,1,right_only,1,0
3429,,,,,,,,9303770007.0,,,0,1,right_only,1,0
3430,,,,,,,,9303770009.0,,,0,1,right_only,1,0
3431,,,,,,,,9303770010.0,,,0,2,right_only,2,0
3432,,,,,,,,9303820003.0,,,0,1,right_only,1,0
3433,,,,,,,,9303820005.0,,,0,1,right_only,1,0
3434,,,,,,,,9306950000.0,,,0,5,right_only,5,0
3435,,,,,,,,9316450000.0,,,0,3,right_only,3,0
3436,,,,,,,,9319250001.0,,,0,1,right_only,1,0
3437,,,,,,,,9319250003.0,,,0,1,right_only,1,0
3438,,,,,,,,9322560001.0,,,0,1,right_only,1,0
3439,,,,,,,,9322560002.0,,,0,1,right_only,1,0
3440,,,,,,,,9322560003.0,,,0,2,right_only,2,0
3441,,,,,,,,9322560005.0,,,0,2,right_only,2,0
3442,,,,,,,,9322560006.0,,,0,2,right_only,2,0
3443,,,,,,,,9326890001.0,,,0,1,right_only,1,0
3444,,,,,,,,9327090001.0,,,0,1,right_only,1,0
3445,,,,,,,,9327440002.0,,,0,2,right_only,2,0
3446,,,,,,,,9327440005.0,,,0,1,right_only,1,0
3447,,,,,,,,9329310002.0,,,0,1,right_only,1,0
3448,,,,,,,,9329310004.0,,,0,2,right_only,2,0
3449,,,,,,,,9329450003.0,,,0,2,right_only,2,0
3450,,,,,,,,9329470001.0,,,0,1,right_only,1,0
3451,,,,,,,,9329470002.0,,,0,2,right_only,2,0
3452,,,,,,,,9329660001.0,,,0,2,right_only,2,0
3453,,,,,,,,9329660002.0,,,0,2,right_only,2,0
3454,,,,,,,,9329660003.0,,,0,4,right_only,4,0
3455,,,,,,,,9329660004.0,,,0,4,right_only,4,0
3456,,,,,,,,9329660005.0,,,0,2,right_only,2,0
3457,,,,,,,,9329770004.0,,,0,2,right_only,2,0
3458,,,,,,,,9329780003.0,,,0,2,right_only,2,0
3459,,,,,,,,9330510001.0,,,0,1,right_only,1,0
3460,,,,,,,,9330510004.0,,,0,1,right_only,1,0
3461,,,,,,,,9333740001.0,,,0,2,right_only,2,0
3462,,,,,,,,9333740002.0,,,0,4,right_only,4,0
3463,,,,,,,,9333740003.0,,,0,2,right_only,2,0
3464,,,,,,,,9333740004.0,,,0,2,right_only,2,0
3465,,,,,,,,9333760001.0,,,0,5,right_only,5,0
3466,,,,,,,,9333760002.0,,,0,8,right_only,8,0
3467,,,,,,,,9333760003.0,,,0,3,right_only,3,0
3468,,,,,,,,9333760004.0,,,0,1,right_only,1,0
3469,,,,,,,,9333780003.0,,,0,3,right_only,3,0
3470,,,,,,,,9333790001.0,,,0,1,right_only,1,0
3471,,,,,,,,9333790004.0,,,0,2,right_only,2,0
3472,,,,,,,,9333850006.0,,,0,1,right_only,1,0
3473,,,,,,,,9333850007.0,,,0,3,right_only,3,0
3474,,,,,,,,9333850008.0,,,0,3,right_only,3,0
3475,,,,,,,,9333860006.0,,,0,2,right_only,2,0
3476,,,,,,,,9333870007.0,,,0,1,right_only,1,0
3477,,,,,,,,9333870008.0,,,0,2,right_only,2,0
3478,,,,,,,,9334100001.0,,,0,5,right_only,5,0
3479,,,,,,,,9334100002.0,,,0,8,right_only,8,0
3480,,,,,,,,9334100003.0,,,0,1,right_only,1,0
3481,,,,,,,,9334150001.0,,,0,2,right_only,2,0
3482,,,,,,,,9334790002.0,,,0,1,right_only,1,0
3483,,,,,,,,9334800001.0,,,0,5,right_only,5,0
3484,,,,,,,,9334800002.0,,,0,2,right_only,2,0
3485,,,,,,,,9334800003.0,,,0,3,right_only,3,0
3486,,,,,,,,9334800004.0,,,0,2,right_only,2,0
3487,,,,,,,,9335600002.0,,,0,2,right_only,2,0
3488,,,,,,,,9335600003.0,,,0,2,right_only,2,0
3489,,,,,,,,9335600004.0,,,0,1,right_only,1,0
3490,,,,,,,,9335640003.0,,,0,1,right_only,1,0
3491,,,,,,,,9335720001.0,,,0,1,right_only,1,0
3492,,,,,,,,9335720003.0,,,0,3,right_only,3,0
3493,,,,,,,,9335720004.0,,,0,3,right_only,3,0
3494,,,,,,,,9335720005.0,,,0,3,right_only,3,0
3495,,,,,,,,9335900006.0,,,0,2,right_only,2,0
3496,,,,,,,,9335900010.0,,,0,1,right_only,1,0
3497,,,,,,,,9340920002.0,,,0,1,right_only,1,0
3498,,,,,,,,9340920003.0,,,0,2,right_only,2,0
3499,,,,,,,,9340920004.0,,,0,1,right_only,1,0
3500,,,,,,,,9340920005.0,,,0,2,right_only,2,0
3501,,,,,,,,9341050001.0,,,0,2,right_only,2,0
3502,,,,,,,,9341050002.0,,,0,1,right_only,1,0
3503,,,,,,,,9341050004.0,,,0,1,right_only,1,0
3504,,,,,,,,9341050005.0,,,0,2,right_only,2,0
3505,,,,,,,,9344670001.0,,,0,1,right_only,1,0
3506,,,,,,,,9344670002.0,,,0,1,right_only,1,0
3507,,,,,,,,9344690001.0,,,0,1,right_only,1,0
3508,,,,,,,,9344690004.0,,,0,1,right_only,1,0
3509,,,,,,,,9350180004.0,,,0,1,right_only,1,0
3510,,,,,,,,9356210001.0,,,0,1,right_only,1,0
3511,,,,,,,,9356210003.0,,,0,3,right_only,3,0
3512,,,,,,,,9356230003.0,,,0,1,right_only,1,0
3513,,,,,,,,9356260001.0,,,0,2,right_only,2,0
3514,,,,,,,,9356260002.0,,,0,1,right_only,1,0
3515,,,,,,,,9356260004.0,,,0,1,right_only,1,0
3516,,,,,,,,9360240001.0,,,0,3,right_only,3,0
3517,,,,,,,,9360240002.0,,,0,3,right_only,3,0
3518,,,,,,,,9360240003.0,,,0,4,right_only,4,0
3519,,,,,,,,9360240004.0,,,0,4,right_only,4,0
3520,,,,,,,,9368380002.0,,,0,1,right_only,1,0
3521,,,,,,,,9368380004.0,,,0,1,right_only,1,0
3522,,,,,,,,9368390001.0,,,0,2,right_only,2,0
3523,,,,,,,,9368390002.0,,,0,1,right_only,1,0
3524,,,,,,,,9368390004.0,,,0,1,right_only,1,0
3525,,,,,,,,9369420001.0,,,0,1,right_only,1,0
3526,,,,,,,,9369420003.0,,,0,1,right_only,1,0
3527,,,,,,,,9369420004.0,,,0,2,right_only,2,0
3528,,,,,,,,9369420005.0,,,0,1,right_only,1,0
3529,,,,,,,,9369740003.0,,,0,1,right_only,1,0
3530,,,,,,,,9371770001.0,,,0,1,right_only,1,0
3531,,,,,,,,9372210001.0,,,0,4,right_only,4,0
3532,,,,,,,,9372210002.0,,,0,2,right_only,2,0
3533,,,,,,,,9372220001.0,,,0,4,right_only,4,0
3534,,,,,,,,9372220002.0,,,0,4,right_only,4,0
3535,,,,,,,,9372310001.0,,,0,5,right_only,5,0
3536,,,,,,,,9372310002.0,,,0,2,right_only,2,0
3537,,,,,,,,9372310003.0,,,0,5,right_only,5,0
3538,,,,,,,,9372310004.0,,,0,4,right_only,4,0
3539,,,,,,,,9372450005.0,,,0,1,right_only,1,0
