,Retail_Product_Color,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2Name,Retail_Product_Level3Name,Retail_Product_Level4Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_SOHQTY,Retail_CCQTY,_merge,diff,unders
2199,CINZA,C,VESTUARIO,C6,C6A,C6AT,2 SOUTIENS APP AMAMENTACAO TRS REF 40205,8505660002.0,42,SOUTIEN / TOP,1,0,left_only,-1,1
2200,ROXO,C,VESTUARIO,CJ,CJA,CJAK,CALCINHA CJ PRD ELLA LISO ROXO G ROXO ME,9456140003.0,G,KIT CALCINHA,2,2,both,0,0
2201,DOURADO,C,VESTUARIO,C5,C5A,C5AB,OCULOS  C5 MAIS ACESSORIOS OCULOS FEM ME,9717780001.0,UNICO,ÓCULOS METAL,1,1,both,0,0
2202,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS CRN MSA INK USED TANK RASGOS,9412320001.0,36,CALÇA JEANS,2,2,both,0,0
2203,PRETO,C,VESTUARIO,C8,C8A,C8AA,CALCA C8 SLO EVT LCM INFO INK COS DE ELA,9275450002.0,6,CALÇA,3,2,both,-1,1
2204,BRANCO,C,VESTUARIO,CJ,CJA,CJAB,CALCINHA APP SLO BIQUINI RENDA BRANCO PP,7738190004.0,GG,CALCINHA / BOTTOM,1,1,both,0,0
2205,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN PRD INK ELASTICO NA CINT,9420190001.0,34,BOTTOM CURTO JEANS,1,0,left_only,-1,1
2206,MARROM,C,VESTUARIO,C5,C5A,C5AA,OCULOS  C5 MSA MAIS ACESSORIOS FEM ACE M,9682700001.0,UNICO,ÓCULOS ACETATO,1,1,both,0,0
2207,JEANS,C,VESTUARIO,CY,CYA,CYAF,TOP SEM MANGA CY SAW EVT LAN MARCA DE TE,9703600005.0,44,TOP,1,0,left_only,-1,1
2208,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN SLO INK BARRA CHUVEIRINH,9384070005.0,42,BOTTOM CURTO JEANS,4,1,both,-3,3
2209,CHOCOLATE,C,VESTUARIO,C9,C9A,C9AT,SOUTIEN PUSH UP ESS C9 PRD RENDA CHOCOLA,9316940002.0,46,SOUTIEN / TOP,3,0,left_only,-3,3
2210,,W,BELEZA,WK,WKG,WKGA,ESTOJO SABONETE PARIS 40GR   4UN   LAVAN,9661410000.0,,PRODUTOS PARA CORPO,2,2,both,0,0
2211,BRANCO,C,VESTUARIO,C6,C6A,C6AB,3 CALCINHAS APP TRS REF 51509 K179 FLORE,8566560003.0,GG,CALCINHA / BOTTOM,4,2,both,-2,2
2212,AZUL,C,VESTUARIO,CM,CMB,CMBB,BERMUDA CM SLO INK CHINO MARINHO LISO IN,9290260004.0,44,BERMUDA SARJA,2,0,left_only,-2,2
2213,AZUL,C,VESTUARIO,CM,CMB,CMBA,CALCA APP CS SLO INK SARJA SKINNY MARINH,9154040003.0,40,CALÇA SARJA,1,0,left_only,-1,1
2214,JEANS,C,VESTUARIO,CY,CYA,CYAI,VESTIDO ABERTO COM CINTO CRN PRD 526405,9675240006.0,46,INTEIRO,1,1,both,0,0
2215,BEGE,C,VESTUARIO,C6,C6A,C6AB,BERMUDA TRS AF CONTROL REF CE1301 BEGE E,9368800001.0,M,CALCINHA / BOTTOM,1,1,both,0,0
2216,JEANS,C,VESTUARIO,CY,CYA,CYAA,CALCA JEANS  BIO MARCA DE TERCEIROS Skin,9697850003.0,42,CALÇA JEANS,1,0,left_only,-1,1
2217,MARROM,C,VESTUARIO,C8,C8D,C8DA,CALCA  PRD JOGGER CARGO INFO EVT LCM CAR,9405910001.0,4,CALÇA,1,1,both,0,0
2218,CINZA,C,VESTUARIO,CR,CRA,CRAS,SHORT DOLL MANGA CURTA CR SLO ELLA ESTAM,9577780004.0,M,SHORT DOLL,2,2,both,0,0
2219,JEANS,C,VESTUARIO,CY,CYA,CYAD,SHORT JEANS CRN PRD INK RASGOS USED BIGO,9480250003.0,42,BOTTOM CURTO JEANS,1,0,left_only,-1,1
2220,BRANCO,C,VESTUARIO,CP,CPM,CPMG,MEIA CP FCX MAIS ACESSORIOS SAPATILHA ES,9306130001.0,34/39,MEIA CASUAL/ESPORTIVA,4,0,left_only,-4,4
